Project URL,SHA Detected,Module Path,Test,Category,Status,Identifier
https://github.com/apache/cxf,69925893ed0e8a8fdfe1164b4e097a5cf5524027,core,org.apache.cxf.attachment.AttachmentUtilTest.fileAsAttachmentDirectory,OD-Vic,Accepted,cxf-69925893ed0e8a8fdfe1164b4e097a5cf5524027-re
https://github.com/apache/cxf,69925893ed0e8a8fdfe1164b4e097a5cf5524027,core,org.apache.cxf.attachment.AttachmentUtilTest.integerAsAttachmentMaxSize,OD-Vic,Accepted,cxf-69925893ed0e8a8fdfe1164b4e097a5cf5524027-re
https://github.com/apache/cxf,69925893ed0e8a8fdfe1164b4e097a5cf5524027,core,org.apache.cxf.attachment.AttachmentUtilTest.longAsAttachmentMaxSize,OD-Vic,Accepted,cxf-69925893ed0e8a8fdfe1164b4e097a5cf5524027-re
https://github.com/apache/cxf,69925893ed0e8a8fdfe1164b4e097a5cf5524027,core,org.apache.cxf.attachment.AttachmentUtilTest.numberStringAsAttachmentMaxSize,OD-Vic,Accepted,cxf-69925893ed0e8a8fdfe1164b4e097a5cf5524027-re
https://github.com/apache/cxf,69925893ed0e8a8fdfe1164b4e097a5cf5524027,core,org.apache.cxf.attachment.AttachmentUtilTest.shortAsAttachmentMaxSize,OD-Vic,Accepted,cxf-69925893ed0e8a8fdfe1164b4e097a5cf5524027-re
https://github.com/apache/cxf,69925893ed0e8a8fdfe1164b4e097a5cf5524027,core,org.apache.cxf.attachment.AttachmentUtilTest.stringAsAttachmentDirectory,OD-Vic,Accepted,cxf-69925893ed0e8a8fdfe1164b4e097a5cf5524027-re
https://github.com/apache/cxf,69925893ed0e8a8fdfe1164b4e097a5cf5524027,core,org.apache.cxf.io.CacheAndWriteOutputStreamTest.testDeleteTmpFile,OD-Brit,Accepted,cxf-69925893ed0e8a8fdfe1164b4e097a5cf5524027-re
https://github.com/apache/cxf,69925893ed0e8a8fdfe1164b4e097a5cf5524027,core,org.apache.cxf.io.CachedOutputStreamTest.testDeleteTmpFile,OD-Brit,Accepted,cxf-69925893ed0e8a8fdfe1164b4e097a5cf5524027-re
https://github.com/apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-serialization/dubbo-serialization-fst,org.apache.dubbo.common.serialize.fst.FstObjectInputTest.testEmptyByteArrayForEmptyInput,OD-Vic,Accepted,dubbo-737f7a7ea67832d7f17517326fb2491d0a086dd7-bbo-serialization-dubbo-serialization-fst
https://github.com/apache/dubbo,1f84cdcfede5ec9843ecebf39a25d9b995b8098b,dubbo-common,org.apache.dubbo.common.threadlocal.InternalThreadLocalTest.testInternalThreadLocal,OD-Vic,Accepted,dubbo-1f84cdcfede5ec9843ecebf39a25d9b995b8098b-bbo-common
https://github.com/apache/dubbo,1f84cdcfede5ec9843ecebf39a25d9b995b8098b,dubbo-common,org.apache.dubbo.common.threadlocal.InternalThreadLocalTest.testInternalThreadLocalMapExpand,OD-Vic,Accepted,dubbo-1f84cdcfede5ec9843ecebf39a25d9b995b8098b-bbo-common
https://github.com/apache/dubbo,1f84cdcfede5ec9843ecebf39a25d9b995b8098b,dubbo-common,org.apache.dubbo.common.threadlocal.InternalThreadLocalTest.testMultiThreadSetAndGet,OD-Vic,Accepted,dubbo-1f84cdcfede5ec9843ecebf39a25d9b995b8098b-bbo-common
https://github.com/apache/dubbo,1f84cdcfede5ec9843ecebf39a25d9b995b8098b,dubbo-common,org.apache.dubbo.common.threadlocal.InternalThreadLocalTest.testOnRemove,OD-Vic,Accepted,dubbo-1f84cdcfede5ec9843ecebf39a25d9b995b8098b-bbo-common
https://github.com/apache/dubbo,1f84cdcfede5ec9843ecebf39a25d9b995b8098b,dubbo-common,org.apache.dubbo.common.threadlocal.InternalThreadLocalTest.testPerformance,OD-Vic,Accepted,dubbo-1f84cdcfede5ec9843ecebf39a25d9b995b8098b-bbo-common
https://github.com/apache/dubbo,1f84cdcfede5ec9843ecebf39a25d9b995b8098b,dubbo-common,org.apache.dubbo.common.threadlocal.InternalThreadLocalTest.testPerformanceTradition,OD-Vic,Accepted,dubbo-1f84cdcfede5ec9843ecebf39a25d9b995b8098b-bbo-common
https://github.com/apache/dubbo,1f84cdcfede5ec9843ecebf39a25d9b995b8098b,dubbo-common,org.apache.dubbo.common.threadlocal.InternalThreadLocalTest.testRemove,OD-Vic,Accepted,dubbo-1f84cdcfede5ec9843ecebf39a25d9b995b8098b-bbo-common
https://github.com/apache/dubbo,1f84cdcfede5ec9843ecebf39a25d9b995b8098b,dubbo-common,org.apache.dubbo.common.threadlocal.InternalThreadLocalTest.testRemoveAll,OD-Vic,Accepted,dubbo-1f84cdcfede5ec9843ecebf39a25d9b995b8098b-bbo-common
https://github.com/apache/dubbo,1f84cdcfede5ec9843ecebf39a25d9b995b8098b,dubbo-common,org.apache.dubbo.common.threadlocal.InternalThreadLocalTest.testSetAndGet,OD-Vic,Accepted,dubbo-1f84cdcfede5ec9843ecebf39a25d9b995b8098b-bbo-common
https://github.com/apache/dubbo,1f84cdcfede5ec9843ecebf39a25d9b995b8098b,dubbo-common,org.apache.dubbo.common.threadlocal.InternalThreadLocalTest.testSize,NIO;OD-Vic,Accepted,dubbo-1f84cdcfede5ec9843ecebf39a25d9b995b8098b-bbo-common
https://github.com/apache/dubbo,5349c13a36d277a090e1dc68fbe7c3b46d78fc90,dubbo-common,org.apache.dubbo.common.utils.PojoUtilsTest.testArrayToCollection,OD-Vic,Accepted,dubbo-5349c13a36d277a090e1dc68fbe7c3b46d78fc90-bbo-common
https://github.com/apache/dubbo,5349c13a36d277a090e1dc68fbe7c3b46d78fc90,dubbo-common,org.apache.dubbo.common.utils.PojoUtilsTest.testCollectionToArray,OD-Vic,Accepted,dubbo-5349c13a36d277a090e1dc68fbe7c3b46d78fc90-bbo-common
https://github.com/apache/dubbo,5349c13a36d277a090e1dc68fbe7c3b46d78fc90,dubbo-common,org.apache.dubbo.common.utils.PojoUtilsTest.testListPojoListPojo,OD-Vic,Accepted,dubbo-5349c13a36d277a090e1dc68fbe7c3b46d78fc90-bbo-common
https://github.com/apache/dubbo,5349c13a36d277a090e1dc68fbe7c3b46d78fc90,dubbo-common,org.apache.dubbo.common.utils.PojoUtilsTest.testMapField,OD-Vic,Accepted,dubbo-5349c13a36d277a090e1dc68fbe7c3b46d78fc90-bbo-common
https://github.com/apache/dubbo,5349c13a36d277a090e1dc68fbe7c3b46d78fc90,dubbo-common,org.apache.dubbo.common.utils.PojoUtilsTest.testPojoList,OD-Vic,Accepted,dubbo-5349c13a36d277a090e1dc68fbe7c3b46d78fc90-bbo-common
https://github.com/apache/dubbo,5349c13a36d277a090e1dc68fbe7c3b46d78fc90,dubbo-common,org.apache.dubbo.common.utils.PojoUtilsTest.testPublicField,OD-Vic,Accepted,dubbo-5349c13a36d277a090e1dc68fbe7c3b46d78fc90-bbo-common
https://github.com/apache/dubbo,5349c13a36d277a090e1dc68fbe7c3b46d78fc90,dubbo-common,org.apache.dubbo.common.utils.PojoUtilsTest.testRealizeLinkedList,OD-Vic,Accepted,dubbo-5349c13a36d277a090e1dc68fbe7c3b46d78fc90-bbo-common
https://github.com/apache/dubbo,5349c13a36d277a090e1dc68fbe7c3b46d78fc90,dubbo-common,org.apache.dubbo.common.utils.PojoUtilsTest.testStackOverflow,OD-Vic,Accepted,dubbo-5349c13a36d277a090e1dc68fbe7c3b46d78fc90-bbo-common
https://github.com/apache/dubbo,5349c13a36d277a090e1dc68fbe7c3b46d78fc90,dubbo-common,org.apache.dubbo.common.utils.PojoUtilsTest.test_has_no_nullary_constructor_pojo,OD-Vic,Accepted,dubbo-5349c13a36d277a090e1dc68fbe7c3b46d78fc90-bbo-common
https://github.com/apache/dubbo,5349c13a36d277a090e1dc68fbe7c3b46d78fc90,dubbo-common,org.apache.dubbo.common.utils.PojoUtilsTest.test_LoopPojoInList,OD-Vic,Accepted,dubbo-5349c13a36d277a090e1dc68fbe7c3b46d78fc90-bbo-common
https://github.com/apache/dubbo,5349c13a36d277a090e1dc68fbe7c3b46d78fc90,dubbo-common,org.apache.dubbo.common.utils.PojoUtilsTest.test_LoopPojoInMap,OD-Vic,Accepted,dubbo-5349c13a36d277a090e1dc68fbe7c3b46d78fc90-bbo-common
